             max_min            avg_dist            add_dist           angle_sub               dummy               cylin             overall
            0.348567            0.000286            0.000000            0.000000            1.484205            3.617340           12.871421
            0.348567            0.528766            3.418952            0.000000            1.483562            2.996746           16.194405
            0.326623            1.017397            4.316249            0.000000            1.908322            3.391705           20.501904
            0.348567            2.572978            0.000000            0.000000            6.047284            2.569514           41.774762
            0.348567            2.939905            0.000000            0.000000            6.047284            2.569514           42.141690
            0.348567            3.557195            0.000000            0.000000            6.047284            2.569514           42.758979
            0.348567            3.825595            0.000000            0.000000            6.047284            2.569514           43.027379
            0.348567            2.301144            0.000000            0.000000            6.493274            2.715756           44.325114
            0.348567            2.517849            0.000000            0.000000            6.636193            2.728936           45.412511
            0.348567            1.484402            0.000000            0.000000            6.953926            2.636907           46.193433
            0.348567            4.297204            0.000000            0.000000            6.636193            2.728936           47.191867
            0.348567            2.515044            0.000000            0.000000            6.953926            2.636907           47.224075
            0.348567            3.606642            0.000000            0.000000            6.953926            2.636907           48.315673
